2021-09-16 18:54:55.006 CAT [6980] LOG:  statistics collector process (PID 11660) exited with exit code 1
2021-09-16 18:55:15.003 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:55:55.042 GMT [1828] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:55:55.043 GMT [1828] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:55:55.045 GMT [1828] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:55:55.045 GMT [1828] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:55:55.059 CAT [6980] LOG:  statistics collector process (PID 1828) exited with exit code 1
2021-09-16 18:56:29.006 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:56:55.093 GMT [9036] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:56:55.094 GMT [9036] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:56:55.096 GMT [9036] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:56:55.096 GMT [9036] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:56:55.110 CAT [6980] LOG:  statistics collector process (PID 9036) exited with exit code 1
2021-09-16 18:57:42.822 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:57:55.142 GMT [7268] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:57:55.143 GMT [7268] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:57:55.144 GMT [7268] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:57:55.144 GMT [7268] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:57:55.159 CAT [6980] LOG:  statistics collector process (PID 7268) exited with exit code 1
2021-09-16 16:58:55.197 GMT [9220] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:58:55.199 GMT [9220] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:58:55.202 GMT [9220] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:58:55.202 GMT [9220] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:58:55.230 CAT [6980] LOG:  statistics collector process (PID 9220) exited with exit code 1
2021-09-16 18:58:57.977 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:59:55.266 GMT [12164] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:59:55.267 GMT [12164] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:59:55.269 GMT [12164] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:59:55.269 GMT [12164] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:59:55.274 CAT [6980] LOG:  statistics collector process (PID 12164) exited with exit code 1
2021-09-16 19:00:13.768 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 17:00:55.306 GMT [7524] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:00:55.307 GMT [7524] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:00:55.308 GMT [7524] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:00:55.308 GMT [7524] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:00:55.313 CAT [6980] LOG:  statistics collector process (PID 7524) exited with exit code 1
2021-09-16 19:01:29.589 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
