2021-10-12 13:43:44.611 GMT [10228] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:43:44.613 GMT [10228] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:43:44.613 GMT [10228] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:43:44.630 CAT [6980] LOG:  statistics collector process (PID 10228) exited with exit code 1
2021-10-12 13:44:44.660 GMT [9520] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:44:44.661 GMT [9520] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:44:44.664 GMT [9520] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:44:44.664 GMT [9520] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:44:44.687 CAT [6980] LOG:  statistics collector process (PID 9520) exited with exit code 1
2021-10-12 15:44:54.535 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:45:44.734 GMT [15592] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:45:44.735 GMT [15592] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:45:44.736 GMT [15592] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:45:44.736 GMT [15592] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:45:44.760 CAT [6980] LOG:  statistics collector process (PID 15592) exited with exit code 1
2021-10-12 15:46:10.313 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:46:44.806 GMT [8204] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:46:44.807 GMT [8204] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:46:44.808 GMT [8204] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:46:44.808 GMT [8204] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:46:44.813 CAT [6980] LOG:  statistics collector process (PID 8204) exited with exit code 1
2021-10-12 15:47:26.095 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:47:44.834 GMT [3060] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:47:44.835 GMT [3060] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:47:44.837 GMT [3060] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:47:44.837 GMT [3060] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:47:44.853 CAT [6980] LOG:  statistics collector process (PID 3060) exited with exit code 1
2021-10-12 15:48:41.919 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:48:44.899 GMT [16276] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:48:44.900 GMT [16276] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:48:44.902 GMT [16276] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:48:44.902 GMT [16276] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:48:44.907 CAT [6980] LOG:  statistics collector process (PID 16276) exited with exit code 1
2021-10-12 13:49:44.947 GMT [13320] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:49:44.948 GMT [13320] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:49:44.950 GMT [13320] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:49:44.950 GMT [13320] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:49:44.966 CAT [6980] LOG:  statistics collector process (PID 13320) exited with exit code 1
2021-10-12 15:49:58.064 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:50:44.996 GMT [18980] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:50:44.997 GMT [18980] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:50:44.999 GMT [18980] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:50:44.999 GMT [18980] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:50:45.016 CAT [6980] LOG:  statistics collector process (PID 18980) exited with exit code 1
2021-10-12 15:51:13.660 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:51:45.058 GMT [18532] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:51:45.059 GMT [18532] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:51:45.060 GMT [18532] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:51:45.060 GMT [18532] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:51:45.088 CAT [6980] LOG:  statistics collector process (PID 18532) exited with exit code 1
2021-10-12 15:52:29.399 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:52:45.120 GMT [1364] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:52:45.121 GMT [1364] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:52:45.122 GMT [1364] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:52:45.122 GMT [1364] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:52:45.142 CAT [6980] LOG:  statistics collector process (PID 1364) exited with exit code 1
2021-10-12 13:53:45.171 GMT [1792] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:53:45.172 GMT [1792] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:53:45.174 GMT [1792] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:53:45.174 GMT [1792] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:53:45.179 CAT [6980] LOG:  statistics collector process (PID 1792) exited with exit code 1
2021-10-12 15:53:45.190 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:54:45.214 GMT [17720] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:54:45.215 GMT [17720] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:54:45.216 GMT [17720] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:54:45.216 GMT [17720] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:54:45.242 CAT [6980] LOG:  statistics collector process (PID 17720) exited with exit code 1
2021-10-12 15:55:00.940 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
