2021-09-08 22:48:17.746 GMT [3964] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:48:17.751 GMT [3964] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:48:17.760 GMT [3964] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:48:17.760 GMT [3964] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:48:17.781 CAT [6980] LOG:  statistics collector process (PID 3964) exited with exit code 1
2021-09-09 00:48:24.199 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:49:17.906 GMT [268] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:49:17.911 GMT [268] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:49:17.920 GMT [268] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:49:17.920 GMT [268] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:49:17.949 CAT [6980] LOG:  statistics collector process (PID 268) exited with exit code 1
2021-09-09 00:49:37.489 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:50:18.081 GMT [6388] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:50:18.085 GMT [6388] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:50:18.094 GMT [6388] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:50:18.094 GMT [6388] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:50:18.116 CAT [6980] LOG:  statistics collector process (PID 6388) exited with exit code 1
2021-09-09 00:50:50.769 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:51:18.242 GMT [7748] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:51:18.247 GMT [7748] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:51:18.256 GMT [7748] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
